date,AAPL,ABT,ADBE,ADP,AEP,AIG,ALL,AMAT,AMGN,AON,APA,APD,AXP,BA,BAC,BAX,BDX,BMY,C,CAT,CB,CL,CLX,COP,CPB,CSCO,CSX,CVS,CVX,D,DD,DE,DIS,DOV,DUK,ECL,ED,EMR,ETN,F,FCX,FDX,GD,GE,GIS,HAL,HAS,HD,HON,HPQ,HRL,HSY,IBM,INTC,IP,ITW,JNJ,JPM,KLAC,KMB,KO,LLY,LMT,LOW,LRCX,MAT,MCD,MDT,MKC,MMM,MO,MRK,MS,MSFT,MU,NEE,NEM,NKE,NOC,NSC,NUE,ORCL,OXY,PEG,PEP,PFE,PG,PH,PNC,PPG,PPL,QCOM,ROK,SBUX,SJM,SLB,SO,SPGI,SPY,STT,TGT,TJX,TRV,TXN,UNH,UNP,USB,VMC,WFC,WHR,WMB,WMT,XEL,XOM,XRX
1994-01-01,0.23875796794891357,2.999319314956665,3.6518051624298096,5.544223308563232,7.944483757019043,165.82278442382812,6.677796840667725,1.9906253814697266,4.067084312438965,8.338008880615234,6.913116931915283,10.973800659179688,5.303327560424805,12.761356353759766,5.367218494415283,3.024542808532715,4.283515930175781,4.296677589416504,33.23691940307617,5.972137451171875,5.110717296600342,3.73114013671875,5.358315467834473,4.00986385345459,7.340060234069824,1.291236400604248,1.3792166709899902,4.852136135101318,7.024382591247559,4.815045356750488,13.409452438354492,7.043066501617432,11.323416709899902,5.701308727264404,8.42916202545166,3.780465841293335,6.504931926727295,6.5156121253967285,4.656865119934082,3.7692642211914062,,12.116068840026855,5.784792423248291,20.535207748413086,4.38672399520874,4.457255840301514,6.971960544586182,4.828300476074219,9.335143089294434,1.945588231086731,1.3115580081939697,5.749425411224365,6.459928512573242,2.2874653339385986,11.94262409210205,5.633091449737549,4.805770397186279,5.18536376953125,0.45207810401916504,9.685295104980469,4.516123294830322,6.4463958740234375,8.803399085998535,2.551490068435669,1.0110042095184326,7.5012640953063965,7.614800453186035,3.0955252647399902,2.841597318649292,8.826841354370117,0.7354448437690735,5.845900058746338,4.253368377685547,1.6147282123565674,5.62580680847168,1.5284403562545776,26.43691635131836,1.10891592502594,8.679398536682129,11.69340705871582,7.1370954513549805,1.2596083879470825,3.172010660171509,3.5109331607818604,8.458930969238281,1.6996310949325562,6.645706653594971,6.594643592834473,10.328369140625,8.837320327758789,2.4141621589660645,0.9367622137069702,5.282820701599121,0.5501188039779663,,7.089043617248535,2.859011650085449,4.435907363891602,27.127527236938477,5.346747875213623,2.8653724193573,0.5844506621360779,9.592392921447754,2.507847547531128,4.052698135375977,5.618810176849365,1.3753962516784668,9.549367904663086,2.76815128326416,26.424997329711914,2.0842442512512207,2.690340280532837,5.205749034881592,5.875113487243652,15.767486572265625
1994-02-01,0.2670527696609497,2.808685302734375,3.5310845375061035,5.425135135650635,7.4086408615112305,157.27337646484375,6.092026710510254,2.1428823471069336,3.483093500137329,8.564959526062012,6.913116931915283,10.531535148620605,4.7547078132629395,13.87569522857666,5.218160152435303,2.897193431854248,4.559401035308838,4.101795673370361,29.379070281982422,6.215898513793945,4.9538116455078125,4.075313091278076,5.539949893951416,3.68703293800354,7.9793572425842285,1.313498616218567,1.3294181823730469,4.730069637298584,6.581099033355713,4.664855003356934,13.435855865478516,7.382093906402588,11.503151893615723,5.878903865814209,7.843114852905273,3.8011229038238525,6.269454002380371,6.889617919921875,4.7533698081970215,3.4950051307678223,,11.936718940734863,5.855433464050293,20.082569122314453,4.109665870666504,4.369806289672852,7.308894157409668,5.153282642364502,9.070738792419434,2.0682575702667236,1.327171802520752,6.143125057220459,6.072696208953857,2.410163164138794,11.608936309814453,5.699365615844727,4.578525066375732,4.88999605178833,0.5143208503723145,9.48291301727295,4.709474563598633,6.026155471801758,8.977130889892578,2.765857219696045,1.0180736780166626,8.614092826843262,7.612593650817871,2.9389069080352783,2.685464382171631,8.743776321411133,0.6835668683052063,5.1852335929870605,4.004532337188721,1.564934492111206,6.830475330352783,1.4298826456069946,26.822399139404297,1.147728681564331,9.077159881591797,10.958843231201172,7.001007080078125,1.2939165830612183,3.194037675857544,3.3721625804901123,8.197050094604492,1.537045955657959,6.4223198890686035,6.141469955444336,9.631094932556152,8.658135414123535,2.3065996170043945,0.838890790939331,5.531795501708984,0.5329278707504272,,6.825862407684326,2.7400808334350586,4.553642272949219,26.336387634277344,5.241218566894531,3.136064291000366,0.5586439371109009,9.022547721862793,2.9019362926483154,3.9164211750030518,5.1353583335876465,1.4248714447021484,9.764111518859863,2.466409921646118,26.54449462890625,1.981300950050354,2.8806941509246826,4.922340393066406,5.793808460235596,15.70691967010498
1994-03-01,0.24327386915683746,2.7070119380950928,2.9330673217773438,5.438016891479492,6.877458572387695,150.77635192871094,5.664604187011719,2.007542133331299,3.191096782684326,8.24297046661377,6.412323951721191,9.915392875671387,4.510878562927246,13.207879066467285,4.884518623352051,2.913289785385132,4.37742805480957,3.8780980110168457,27.895278930664062,6.445322513580322,4.63490629196167,3.6216320991516113,5.202626705169678,3.6190717220306396,7.579684734344482,1.2199954986572266,1.2387763261795044,4.653778076171875,6.381673336029053,4.523495674133301,12.824009895324707,7.424642562866211,10.06525707244873,5.746927261352539,7.335472106933594,3.405080556869507,6.163639545440674,6.354504585266113,4.7533698081970215,3.305136203765869,,10.661346435546875,5.329543590545654,19.188995361328125,4.109665870666504,4.0738444328308105,7.2052226066589355,5.04865026473999,8.66990852355957,1.8794680833816528,1.2022616863250732,5.558778285980225,6.273683071136475,2.3663432598114014,10.849654197692871,5.368007659912109,4.307522296905518,4.825191974639893,0.46845781803131104,9.075276374816895,4.509949207305908,5.427618980407715,8.789036750793457,2.6978871822357178,0.8766742944717407,8.303902626037598,7.141714572906494,2.9481213092803955,2.731764078140259,8.21479320526123,0.6256654262542725,4.806872367858887,3.6291086673736572,1.6076152324676514,8.023097038269043,1.3982247114181519,28.42578887939453,1.1760175228118896,8.992589950561523,10.26399040222168,7.338860988616943,1.2596083879470825,2.882185935974121,3.1506309509277344,7.705718517303467,1.4310427904129028,5.975550174713135,6.141469955444336,9.282458305358887,8.390210151672363,2.237314224243164,0.9134594798088074,5.2660040855407715,0.5587146282196045,,6.345800876617432,2.531867027282715,4.22261381149292,25.23285675048828,5.084196090698242,3.2018558979034424,0.548250675201416,8.52133560180664,2.774256944656372,4.055320739746094,4.91080904006958,1.4584569931030273,9.68919849395752,2.505767345428467,23.850873947143555,1.9310145378112793,2.63083553314209,4.877590179443359,5.615194797515869,15.464034080505371
1994-04-01,0.21949514746665955,2.9058730602264404,3.235445499420166,5.464544296264648,7.268860340118408,152.79270935058594,5.635100841522217,2.007542133331299,3.37880802154541,8.0042724609375,7.52147912979126,9.60987663269043,4.8594441413879395,13.356281280517578,5.578495025634766,2.9454808235168457,4.508753299713135,4.056946277618408,27.499601364135742,6.310487270355225,5.129894256591797,3.691931962966919,5.288554668426514,4.247737407684326,7.460883617401123,1.0797407627105713,1.1764591932296753,4.8988213539123535,6.761533737182617,4.77794075012207,13.383899688720703,6.742675304412842,10.203413009643555,5.279016971588135,7.436997413635254,3.674994945526123,6.481084823608398,6.234103202819824,4.558307647705078,3.3097753524780273,,12.15592098236084,5.128268718719482,18.27752685546875,3.8466439247131348,4.126072406768799,7.049713134765625,5.203516960144043,8.194839477539062,1.8365585803985596,1.2100685834884644,5.3490166664123535,6.6038737297058105,2.140244960784912,10.430058479309082,5.483982086181641,4.721158027648926,4.609633445739746,0.5519941449165344,9.418543815612793,4.634843826293945,5.3596014976501465,8.395753860473633,2.9626970291137695,0.8554642200469971,8.303902626037598,7.534115314483643,2.7789809703826904,2.574763774871826,8.13181209564209,0.6735559701919556,4.786676406860352,4.185297012329102,1.7546242475509644,8.806402206420898,1.4931985139846802,25.546064376831055,1.1898860931396484,8.62612247467041,10.144874572753906,7.4296488761901855,1.1713874340057373,3.1726386547088623,3.2354013919830322,7.679417610168457,1.5635478496551514,6.389278411865234,7.530354022979736,9.829590797424316,8.545329093933105,2.395385980606079,0.7922863364219666,5.182945728302002,0.6819183826446533,,6.600833892822266,2.6371521949768066,4.206464767456055,25.515777587890625,5.419607639312744,3.465022325515747,0.49888184666633606,8.699430465698242,2.7473225593566895,3.936741352081299,5.105510234832764,1.5633455514907837,9.239696502685547,2.7025539875030518,22.92034339904785,2.0718181133270264,2.567286729812622,5.092189311981201,5.615194797515869,16.010530471801758
1994-05-01,0.21485307812690735,3.0594875812530518,3.4773478507995605,5.663499355316162,6.580049991607666,167.53402709960938,6.195660591125488,1.9680691957473755,3.8845863342285156,8.622492790222168,7.52147912979126,9.387685775756836,5.134706974029541,13.84192943572998,5.961326599121094,3.31567645072937,4.450385093688965,4.113422393798828,26.129823684692383,6.138188362121582,4.904899597167969,3.6053409576416016,5.380189418792725,4.457586288452148,7.009429454803467,0.8816023468971252,1.162683129310608,5.006657600402832,6.680511951446533,4.553373336791992,14.556986808776855,6.137704372406006,10.413482666015625,5.120656967163086,7.459263801574707,3.674994945526123,5.952978610992432,6.5712175369262695,4.541625022888184,3.2743358612060547,,12.195778846740723,5.365692615509033,19.093053817749023,4.0794878005981445,4.264646530151367,6.856485366821289,5.5906853675842285,8.382826805114746,1.7965078353881836,1.2807867527008057,5.190234661102295,7.2670087814331055,2.1928741931915283,11.142863273620605,5.418163776397705,5.08463716506958,5.09049654006958,0.5241484045982361,9.69745922088623,4.468318939208984,6.305079460144043,8.81948471069336,2.6276917457580566,0.8130444884300232,8.717037200927734,7.785248279571533,3.0374908447265625,2.614015579223633,8.5402193069458,0.6086721420288086,4.928053379058838,4.351633548736572,2.0391571521759033,8.142906188964844,1.358743667602539,25.621503829956055,1.3091522455215454,8.06770133972168,10.181676864624023,8.125703811645508,1.342928409576416,3.46309232711792,3.136500835418701,7.574221611022949,1.7028775215148926,6.333104610443115,7.531646728515625,10.799332618713379,8.495219230651855,2.1521992683410645,0.6105267405509949,4.767185688018799,0.6532660722732544,,6.907548427581787,2.50191330909729,4.300562381744385,25.9224796295166,5.728541374206543,3.4669206142425537,0.5071660280227661,8.507631301879883,2.8819963932037354,4.565197467803955,5.105510234832764,1.493420124053955,9.381732940673828,2.8278255462646484,21.128019332885742,2.2798547744750977,2.3893558979034424,4.9557929039001465,5.522271633148193,16.39436149597168
1994-06-01,0.19465288519859314,2.969878911972046,3.3020362854003906,5.652859210968018,6.437622547149658,155.42298889160156,5.644866466522217,1.9285955429077148,3.5769474506378174,8.81771469116211,7.679238319396973,9.47037410736084,4.78619909286499,13.804624557495117,5.530710220336914,3.4135260581970215,4.79537296295166,4.093196868896484,25.63306427001953,5.743333339691162,4.452818393707275,3.290465831756592,5.11837911605835,4.286139011383057,6.587101459503174,0.8326246738433838,1.1474847793579102,4.775579929351807,6.43095588684082,4.1799116134643555,14.080374717712402,5.993680000305176,9.993341445922852,5.674893379211426,7.35637903213501,3.6724913120269775,5.710552215576172,6.126855373382568,4.293900966644287,3.3452117443084717,,11.916790008544922,5.175754070281982,18.0307559967041,4.070176601409912,4.756047248840332,6.155253887176514,5.223595142364502,8.263510704040527,1.7287697792053223,1.312216877937317,5.235497951507568,6.7767744064331055,2.05253005027771,10.660143852233887,5.185485363006592,4.92664098739624,5.1573286056518555,0.4913892447948456,9.146507263183594,4.531048774719238,6.26378059387207,9.026595115661621,2.8684756755828857,0.7918347120285034,8.405652046203613,7.265645980834961,2.959015130996704,2.5506515502929688,8.309964179992676,0.6453191041946411,4.851594924926758,4.184265613555908,1.9585394859313965,8.354019165039062,1.2731528282165527,25.0003719329834,1.3263667821884155,8.466814041137695,10.081664085388184,8.29768180847168,1.4703603982925415,3.4178237915039062,2.9970240592956543,6.475727081298828,1.6861830949783325,5.996091842651367,7.444323539733887,10.182225227355957,8.523627281188965,1.9462003707885742,0.5965449810028076,5.001361846923828,0.5787711143493652,,7.133771896362305,2.535722494125366,4.333141326904297,25.328479766845703,5.475743770599365,3.5716450214385986,0.4574945867061615,8.879900932312012,2.8644213676452637,4.280613422393799,4.933948993682861,1.5273756980895996,9.23082160949707,2.7617545127868652,20.68476676940918,2.3203859329223633,2.4699811935424805,4.970947742462158,5.12701940536499,15.945755958557129
1994-07-01,0.24744775891304016,2.898629665374756,3.756444215774536,5.479945182800293,6.950353622436523,169.10389709472656,5.941964149475098,2.0188207626342773,4.145296096801758,8.738503456115723,7.1232781410217285,10.72750186920166,4.969021797180176,13.319597244262695,6.0016937255859375,3.4297821521759033,4.942022323608398,4.016867160797119,26.328523635864258,6.241517543792725,4.226787567138672,3.3873932361602783,5.262362480163574,4.491872310638428,7.090114593505859,0.7480267286300659,1.179781436920166,4.6206254959106445,6.8148932456970215,4.1799116134643555,14.888046264648438,6.215259552001953,10.191386222839355,5.674893379211426,7.870809555053711,3.6724913120269775,6.195406436920166,6.54428768157959,4.283578395843506,3.6404294967651367,,10.601556777954102,5.1091084480285645,19.48094367980957,3.7484970092773438,4.773595809936523,6.285109996795654,5.068592548370361,9.128637313842773,1.7833319902420044,1.414194941520691,5.1147942543029785,7.137245178222656,2.0810043811798096,11.726144790649414,5.335064888000488,5.400631427764893,5.140584468841553,0.5241484045982361,9.816818237304688,4.949300765991211,5.355186939239502,8.698665618896484,3.0188143253326416,0.7989049553871155,9.150981903076172,6.8253045082092285,3.2998242378234863,2.4246938228607178,8.896058082580566,0.6891754269599915,4.831211090087891,4.477163791656494,1.953797459602356,9.029802322387695,1.353394627571106,24.534528732299805,1.3652149438858032,9.578620910644531,10.081664085388184,8.358256340026855,1.4997674226760864,3.5988996028900146,3.198746919631958,6.449294567108154,1.6561318635940552,6.303193092346191,7.531646728515625,10.25029182434082,8.892984390258789,2.032975196838379,0.6711130738258362,4.800637722015381,0.664726734161377,,7.118692398071289,2.6610264778137207,4.52862024307251,26.14724349975586,5.440299034118652,3.6377880573272705,0.4182809591293335,9.460832595825195,2.8328959941864014,4.316189289093018,5.140888690948486,1.562661051750183,9.255973815917969,2.7617545127868652,20.044527053833008,2.6345012187957764,2.5463733673095703,5.267920970916748,5.375462055206299,16.679834365844727
1994-08-01,0.2667325735092163,3.091871500015259,3.8473260402679443,5.759263038635254,7.317057132720947,168.85797119140625,6.179642677307129,2.2782235145568848,4.400793075561523,9.001313209533691,7.0190324783325195,11.118613243103027,5.2737274169921875,13.656634330749512,6.0521955490112305,3.7242467403411865,5.030011177062988,4.3985137939453125,29.538312911987305,6.644661903381348,4.181581020355225,3.633317232131958,5.513587474822998,4.582486629486084,7.425455093383789,0.8838284611701965,1.1810688972473145,4.71397066116333,6.577803611755371,4.397024154663086,16.180320739746094,6.580863952636719,9.920816421508789,5.60435152053833,8.07449722290039,3.8602867126464844,5.9751877784729,6.735205173492432,4.121678352355957,3.340630292892456,,11.299029350280762,5.763717174530029,19.239248275756836,4.049131393432617,4.283397674560547,6.533974647521973,5.6111016273498535,8.961780548095703,2.0676300525665283,1.4536961317062378,5.833982944488525,7.932906150817871,2.3092989921569824,12.481581687927246,5.769259929656982,5.7948198318481445,5.190817356109619,0.6224265694618225,10.27090072631836,5.1305437088012695,6.356808185577393,10.969905853271484,3.029296875,1.0039329528808594,9.523648262023926,7.124361515045166,3.656189203262329,2.4876744747161865,9.304733276367188,0.7643587589263916,5.565062522888184,4.770975589752197,2.205137014389038,9.724400520324707,1.360695242881775,26.713829040527344,1.4290357828140259,10.360894203186035,10.380788803100586,8.358256340026855,1.673759937286377,4.028954982757568,3.198746919631958,7.004356861114502,1.8370064496994019,6.882632732391357,7.379088401794434,9.982887268066406,9.529646873474121,2.0949575901031494,0.838890790939331,4.871140480041504,0.6475358605384827,,6.9140095710754395,2.5923550128936768,4.575016021728516,27.14401626586914,5.670674800872803,3.7559173107147217,0.4581487774848938,9.571480751037598,2.8058719635009766,4.956503391265869,5.021079063415527,1.7340492010116577,10.707124710083008,2.834683656692505,21.75253677368164,2.539973735809326,2.5124847888946533,5.329536437988281,5.44088888168335,17.597286224365234
1994-09-01,0.24830494821071625,3.2335803508758545,3.9440510272979736,6.002090930938721,7.288022994995117,159.65150451660156,5.714135646820068,2.1090476512908936,4.442506790161133,8.771347999572754,7.038261413574219,10.502889633178711,5.695622444152832,12.981310844421387,5.319417476654053,3.691432476043701,5.68463134765625,4.379436016082764,26.245189666748047,6.234320163726807,4.359079360961914,3.6809134483337402,5.513587474822998,4.7381157875061035,7.62321662902832,0.9751059412956238,1.04729163646698,4.433933734893799,6.461386680603027,4.353200435638428,17.00071907043457,6.131183624267578,9.319559097290039,5.507516384124756,8.126596450805664,3.648397922515869,5.454416751861572,6.464171886444092,3.9451842308044434,3.1693150997161865,,9.86423397064209,5.588088035583496,18.749292373657227,4.34036922454834,4.460398197174072,6.169529914855957,5.212822437286377,8.18249225616455,2.0140116214752197,1.4220945835113525,5.469360828399658,8.063199043273926,2.160029888153076,12.704102516174316,5.7233123779296875,5.98267936706543,4.747320175170898,0.6486336588859558,10.239139556884766,5.446342945098877,6.45439338684082,9.6987886428833,3.2389373779296875,1.1382628679275513,9.004912376403809,6.6515069007873535,3.915362596511841,2.51932954788208,9.325836181640625,0.7763816714286804,5.860833644866943,4.211333274841309,2.129260540008545,8.346144676208496,1.4040642976760864,28.037843704223633,1.315775752067566,10.418457984924316,10.03812313079834,8.439477920532227,1.6860127449035645,3.846827268600464,3.085893392562866,7.042056560516357,1.8605576753616333,6.741301536560059,7.005744457244873,9.225258827209473,9.071765899658203,2.023672342300415,0.9437522888183594,4.618310451507568,0.52862948179245,,6.595600128173828,2.558018684387207,4.8132123947143555,26.45850944519043,5.195989608764648,3.3902974128723145,0.4423505961894989,9.073798179626465,2.459179162979126,5.027647972106934,4.707751274108887,1.66745924949646,10.909625053405762,2.635059118270874,20.36511993408203,2.4481680393218994,2.38494610786438,5.288435459136963,5.258003234863281,17.535682678222656
1994-10-01,0.3183284401893616,3.2148780822753906,4.3687944412231445,6.228832244873047,7.433204174041748,168.18426513671875,5.7739691734313965,2.345893383026123,4.6510748863220215,8.262006759643555,7.839646816253662,10.72755241394043,5.832581043243408,13.168902397155762,5.373701572418213,3.4125254154205322,5.566816329956055,4.513186931610107,27.742074966430664,6.900835990905762,4.13204288482666,3.881582736968994,5.762901306152344,5.1404218673706055,7.960952281951904,1.0730613470077515,1.1084468364715576,4.199987888336182,6.985283374786377,4.3385910987854,15.968733787536621,6.399213790893555,9.518479347229004,5.374370098114014,8.256826400756836,3.5645294189453125,5.454416751861572,6.586137294769287,4.35008430480957,3.399399757385254,,9.684883117675781,5.455990314483643,19.041481018066406,4.252848148345947,5.239198684692383,6.886997222900391,5.647222518920898,8.302383422851562,2.2560391426086426,1.5568727254867554,5.742825984954834,8.627765655517578,2.184206247329712,12.056754112243652,6.024538993835449,6.315052509307861,5.154231548309326,0.6912211179733276,8.975584983825684,5.6423563957214355,6.914424419403076,10.029623031616211,3.3371870517730713,1.2725921869277954,9.710369110107422,7.281980514526367,3.8767590522766113,2.5034854412078857,9.346931457519531,0.7779695987701416,5.860833644866943,4.3232598304748535,2.3900816440582275,9.676692008972168,1.4365906715393066,25.779233932495117,1.3518620729446411,10.101874351501465,10.235233306884766,7.484919548034668,1.8036421537399292,4.007111072540283,3.085893392562866,7.440662860870361,1.9951367378234863,7.148630142211914,8.213632583618164,8.494521141052246,9.329322814941406,1.973078727722168,1.0998798608779907,4.702587127685547,0.6217485070228577,10.760069847106934,7.1414475440979,2.72969913482666,4.911775588989258,27.210617065429688,4.751126766204834,3.434617042541504,0.3317633271217346,9.743861198425293,2.707810401916504,5.003931522369385,4.290748596191406,1.6064540147781372,10.428689002990723,2.630537986755371,20.612890243530273,2.3665621280670166,2.397700548171997,5.5544209480285645,5.749510288238525,16.83753776550293
